brand,model,variant,rsbr,scab,isofix,date
MG,COMET,Executive 17 kWh,C,D,B,30 December 2024
Tata,TIAGO.EV,XE MR 19 kWh,C,D,B,30 December 2024
Tata,TIGOR.EV,XE 26 kWh,C,D,B,30 December 2024
Tata,PUNCH.EV,Smart 25 kWh,C,A,A,30 December 2024
Citroën,ë-C3,Feel 29 kWh,D,D,D,30 December 2024
Maruti Suzuki,ERTIGA,LXi 1.5,C,D,B,30 December 2024
Maruti Suzuki,XL6,Sigma 1.5,C,D,B,30 December 2024
Toyota,RUMION,S 1.5,C,D,B,30 December 2024
Kia,CARENS,Premium 1.5,C,A,A,30 December 2024
Mahindra,MARAZZO,M2,D,D,B,30 December 2024
Maruti Suzuki,EECO,STD,C,D,D,30 December 2024
Renault,TRIBER,RxE 1.0 SCe,C,D,D,30 December 2024
BYD,ATTO 3,Dynamic 50 kWh,A,A,A,30 December 2024
Citroën,C5 Aircross,Shine DW10FC,C,A,A,30 December 2024
Hyundai,TUCSON,Platinum Nu2.0 MPi,B,A,B,30 December 2024
